problem,parameter,value,role,nodes,temperature_c,radius_scale,diffusivity_scale,moisture,boundary_time_scale,horizon_h,max_step_s,status,drying_time_h,end_max_moisture,min_moisture,max_moisture,min_temperature,max_temperature,event_residual,nfev,nlu,runtime_s,message
3,moisture,0.0,low_moisture_grid,321,49.99875609756098,1.0,1.0,0.0,1.0,120.0,60.0,dry,58.25608839042266,0.15,0.002445881528283691,2.55,28.0,50.0393157832045,0.0,9846,1288,2.6681779000064125,
3,moisture,0.0,low_moisture_grid,641,49.99875609756098,1.0,1.0,0.0,1.0,120.0,60.0,dry,57.72223830789115,0.15,0.0025096791249591736,2.55,28.0,50.03968634851428,0.0,9419,1254,3.9260828999977093,
3,moisture,0.0,low_moisture_grid,1281,49.99875609756098,1.0,1.0,0.0,1.0,120.0,60.0,dry,57.39625531948386,0.15,0.0025547012657045017,2.55,28.0,50.03943476743842,0.0,9091,1231,7.33656609999889,
3,moisture,0.025,low_moisture_grid,321,49.99875609756098,1.0,1.0,0.025,1.0,120.0,60.0,dry,57.37928731465436,0.15,0.027630014928183306,2.55,28.0,50.0393157832045,0.0,9269,1252,2.4224661000043852,
3,moisture,0.025,low_moisture_grid,641,49.99875609756098,1.0,1.0,0.025,1.0,120.0,60.0,dry,57.24503388581388,0.15,0.027645229034419867,2.55,28.0,50.03968634851428,0.0,8930,1193,4.086348099997849,
3,moisture,0.025,low_moisture_grid,1281,49.99875609756098,1.0,1.0,0.025,1.0,120.0,60.0,dry,57.17790333401675,0.15,0.027653328911619052,2.55,28.0,50.03943476743842,0.0,9458,1249,8.331593299997621,
3,moisture,0.05,low_moisture_grid,321,49.99875609756098,1.0,1.0,0.05,1.0,120.0,60.0,dry,57.495773572607334,0.15,0.05265891584063744,2.55,28.0,50.0393157832045,0.0,9470,1272,3.239308800009894,
3,moisture,0.05,low_moisture_grid,641,49.99875609756098,1.0,1.0,0.05,1.0,120.0,60.0,dry,57.48100892630317,0.15,0.05265934807561527,2.55,28.0,50.03968634851428,0.0,8941,1205,4.642629699999816,
3,moisture,0.05,low_moisture_grid,1281,49.99875609756098,1.0,1.0,0.05,1.0,120.0,60.0,dry,57.47636581348572,0.15,0.052659394860699066,2.55,28.0,50.03943476743842,0.0,9067,1233,7.623458300004131,
4,moisture,0.0,low_moisture_grid,321,49.99875609756098,1.0,1.0,0.0,1.0,120.0,60.0,dry,51.134772304330625,0.15,0.002526766932955619,2.55,28.0,50.050199285441344,0.0,8443,1061,2.69039150000026,
4,moisture,0.0,low_moisture_grid,641,49.99875609756098,1.0,1.0,0.0,1.0,120.0,60.0,dry,50.937807045415006,0.14999999999999997,0.0025603841895544583,2.55,28.0,50.04990527710831,2.7755575615628914e-17,8453,1060,4.234573800000362,
4,moisture,0.0,low_moisture_grid,1281,49.99875609756098,1.0,1.0,0.0,1.0,120.0,60.0,dry,50.815931565980605,0.15,0.0025836955936063685,2.55,28.0,50.05007887820427,0.0,8425,1077,7.675087800002075,
4,moisture,0.025,low_moisture_grid,321,49.99875609756098,1.0,1.0,0.025,1.0,120.0,60.0,dry,50.83626457464006,0.15,0.027627742703798433,2.55,28.0,50.050199285441344,0.0,8390,1102,2.894692700006999,
4,moisture,0.025,low_moisture_grid,641,49.99875609756098,1.0,1.0,0.025,1.0,120.0,60.0,dry,50.7990212000078,0.15,0.02763262065440365,2.55,28.0,50.04990527710831,0.0,8394,1146,4.185665199998766,
4,moisture,0.025,low_moisture_grid,1281,49.99875609756098,1.0,1.0,0.025,1.0,120.0,60.0,dry,50.78207740726443,0.15,0.027634844484643113,2.55,28.0,50.05007887820427,0.0,8376,1085,7.4166226999950595,
4,moisture,0.05,low_moisture_grid,321,49.99875609756098,1.0,1.0,0.05,1.0,120.0,60.0,dry,51.095509745324755,0.15,0.0526197890723206,2.55,28.0,50.050199285441344,0.0,8341,1147,2.8477132999978494,
4,moisture,0.05,low_moisture_grid,641,49.99875609756098,1.0,1.0,0.05,1.0,120.0,60.0,dry,51.09333033259515,0.15,0.05261988460389414,2.55,28.0,50.04990527710831,0.0,8383,1187,4.38445870000578,
4,moisture,0.05,low_moisture_grid,1281,49.99875609756098,1.0,1.0,0.05,1.0,120.0,60.0,dry,51.092748564210666,0.14999999999999997,0.05261990468167264,2.55,28.0,50.05007887820427,2.7755575615628914e-17,8496,1194,7.2989549999911105,
